Epoch: [24][0/18], lr: 0.00100	Time 7.094 (7.094)	Data 6.172 (6.172)	Loss 3.0072 (3.0072)	Prec@1 10.000 (10.000)	Prec@5 20.000 (20.000)
Test: [0/5]	Time 1.797 (1.797)	Loss 3.0211 (3.0211)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.92065 
Best Prec@1: 10.000
Epoch: [25][0/18], lr: 0.00100	Time 8.062 (8.062)	Data 7.156 (7.156)	Loss 2.8659 (2.8659)	Prec@1 15.000 (15.000)	Prec@5 35.000 (35.000)
Epoch: [26][0/18], lr: 0.00100	Time 7.719 (7.719)	Data 6.766 (6.766)	Loss 2.9094 (2.9094)	Prec@1 0.000 (0.000)	Prec@5 45.000 (45.000)
Epoch: [27][0/18], lr: 0.00100	Time 7.125 (7.125)	Data 5.984 (5.984)	Loss 2.8469 (2.8469)	Prec@1 10.000 (10.000)	Prec@5 50.000 (50.000)
Epoch: [28][0/18], lr: 0.00100	Time 7.078 (7.078)	Data 5.922 (5.922)	Loss 2.9496 (2.9496)	Prec@1 5.000 (5.000)	Prec@5 25.000 (25.000)
Epoch: [29][0/18], lr: 0.00100	Time 6.953 (6.953)	Data 6.047 (6.047)	Loss 2.9635 (2.9635)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
Test: [0/5]	Time 1.937 (1.937)	Loss 3.0241 (3.0241)	Prec@1 0.000 (0.000)	Prec@5 15.000 (15.000)
Testing Results: Prec@1 7.778 Prec@5 34.444 Loss 2.91813 
Best Prec@1: 10.000
Epoch: [30][0/18], lr: 0.00100	Time 8.297 (8.297)	Data 6.953 (6.953)	Loss 2.8904 (2.8904)	Prec@1 20.000 (20.000)	Prec@5 35.000 (35.000)
Epoch: [31][0/18], lr: 0.00100	Time 7.453 (7.453)	Data 6.063 (6.063)	Loss 2.9329 (2.9329)	Prec@1 10.000 (10.000)	Prec@5 35.000 (35.000)
Epoch: [32][0/18], lr: 0.00100	Time 7.031 (7.031)	Data 5.672 (5.672)	Loss 2.9092 (2.9092)	Prec@1 5.000 (5.000)	Prec@5 35.000 (35.000)
Epoch: [33][0/18], lr: 0.00100	Time 7.109 (7.109)	Data 5.609 (5.609)	Loss 2.9503 (2.9503)	Prec@1 15.000 (15.000)	Prec@5 30.000 (30.000)
Epoch: [34][0/18], lr: 0.00100	Time 7.359 (7.359)	Data 6.289 (6.289)	Loss 2.9556 (2.9556)	Prec@1 5.000 (5.000)	Prec@5 30.000 (30.000)
Test: [0/5]	Time 1.750 (1.750)	Loss 3.0155 (3.0155)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 36.667 Loss 2.90998 
Best Prec@1: 10.000
Epoch: [35][0/18], lr: 0.00100	Time 7.281 (7.281)	Data 6.312 (6.312)	Loss 2.9101 (2.9101)	Prec@1 0.000 (0.000)	Prec@5 45.000 (45.000)
Epoch: [36][0/18], lr: 0.00100	Time 7.703 (7.703)	Data 6.391 (6.391)	Loss 2.9102 (2.9102)	Prec@1 25.000 (25.000)	Prec@5 40.000 (40.000)
Epoch: [37][0/18], lr: 0.00100	Time 7.500 (7.500)	Data 6.453 (6.453)	Loss 2.9664 (2.9664)	Prec@1 0.000 (0.000)	Prec@5 30.000 (30.000)
Epoch: [38][0/18], lr: 0.00100	Time 7.344 (7.344)	Data 6.312 (6.312)	Loss 2.9561 (2.9561)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
Epoch: [39][0/18], lr: 0.00100	Time 7.141 (7.141)	Data 5.516 (5.516)	Loss 2.8918 (2.8918)	Prec@1 15.000 (15.000)	Prec@5 35.000 (35.000)
Test: [0/5]	Time 1.859 (1.859)	Loss 3.0325 (3.0325)	Prec@1 0.000 (0.000)	Prec@5 15.000 (15.000)
Testing Results: Prec@1 7.778 Prec@5 34.444 Loss 2.91655 
Best Prec@1: 10.000
Epoch: [40][0/18], lr: 0.00100	Time 6.890 (6.890)	Data 6.000 (6.000)	Loss 2.8883 (2.8883)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
Epoch: [41][0/18], lr: 0.00100	Time 7.266 (7.266)	Data 6.359 (6.359)	Loss 2.9215 (2.9215)	Prec@1 10.000 (10.000)	Prec@5 35.000 (35.000)
Epoch: [42][0/18], lr: 0.00100	Time 7.438 (7.438)	Data 6.063 (6.063)	Loss 2.8548 (2.8548)	Prec@1 10.000 (10.000)	Prec@5 45.000 (45.000)
Epoch: [43][0/18], lr: 0.00100	Time 7.844 (7.844)	Data 6.516 (6.516)	Loss 2.8926 (2.8926)	Prec@1 5.000 (5.000)	Prec@5 40.000 (40.000)
Epoch: [44][0/18], lr: 0.00100	Time 8.000 (8.000)	Data 7.062 (7.062)	Loss 2.9274 (2.9274)	Prec@1 15.000 (15.000)	Prec@5 35.000 (35.000)
Test: [0/5]	Time 1.766 (1.766)	Loss 3.0027 (3.0027)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91557 
Best Prec@1: 10.000
Epoch: [45][0/18], lr: 0.00100	Time 7.797 (7.797)	Data 5.812 (5.812)	Loss 2.9922 (2.9922)	Prec@1 5.000 (5.000)	Prec@5 20.000 (20.000)
Epoch: [46][0/18], lr: 0.00100	Time 7.406 (7.406)	Data 6.484 (6.484)	Loss 2.9482 (2.9482)	Prec@1 10.000 (10.000)	Prec@5 45.000 (45.000)
Epoch: [47][0/18], lr: 0.00100	Time 7.297 (7.297)	Data 6.406 (6.406)	Loss 2.9794 (2.9794)	Prec@1 5.000 (5.000)	Prec@5 25.000 (25.000)
Epoch: [48][0/18], lr: 0.00100	Time 6.797 (6.797)	Data 5.484 (5.484)	Loss 2.8288 (2.8288)	Prec@1 25.000 (25.000)	Prec@5 55.000 (55.000)
Epoch: [49][0/18], lr: 0.00100	Time 7.828 (7.828)	Data 6.469 (6.469)	Loss 2.9731 (2.9731)	Prec@1 5.000 (5.000)	Prec@5 25.000 (25.000)
Test: [0/5]	Time 1.703 (1.703)	Loss 3.0123 (3.0123)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 36.667 Loss 2.91553 
Best Prec@1: 10.000
Epoch: [50][0/18], lr: 0.00010	Time 7.797 (7.797)	Data 5.844 (5.844)	Loss 2.8833 (2.8833)	Prec@1 0.000 (0.000)	Prec@5 35.000 (35.000)
Epoch: [51][0/18], lr: 0.00010	Time 7.062 (7.062)	Data 6.172 (6.172)	Loss 2.8607 (2.8607)	Prec@1 25.000 (25.000)	Prec@5 55.000 (55.000)
Epoch: [52][0/18], lr: 0.00010	Time 7.875 (7.875)	Data 6.938 (6.938)	Loss 2.8563 (2.8563)	Prec@1 5.000 (5.000)	Prec@5 40.000 (40.000)
Epoch: [53][0/18], lr: 0.00010	Time 7.172 (7.172)	Data 6.000 (6.000)	Loss 2.9302 (2.9302)	Prec@1 5.000 (5.000)	Prec@5 25.000 (25.000)
Epoch: [54][0/18], lr: 0.00010	Time 8.234 (8.234)	Data 6.625 (6.625)	Loss 2.9389 (2.9389)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
Test: [0/5]	Time 1.750 (1.750)	Loss 3.0208 (3.0208)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 36.667 Loss 2.91272 
Best Prec@1: 10.000
Epoch: [55][0/18], lr: 0.00010	Time 6.953 (6.953)	Data 6.031 (6.031)	Loss 2.8562 (2.8562)	Prec@1 5.000 (5.000)	Prec@5 40.000 (40.000)
Epoch: [56][0/18], lr: 0.00010	Time 6.859 (6.859)	Data 5.750 (5.750)	Loss 2.9482 (2.9482)	Prec@1 0.000 (0.000)	Prec@5 35.000 (35.000)
Epoch: [57][0/18], lr: 0.00010	Time 7.469 (7.469)	Data 6.594 (6.594)	Loss 2.9944 (2.9944)	Prec@1 5.000 (5.000)	Prec@5 30.000 (30.000)
Epoch: [58][0/18], lr: 0.00010	Time 7.813 (7.813)	Data 6.609 (6.609)	Loss 3.0185 (3.0185)	Prec@1 0.000 (0.000)	Prec@5 20.000 (20.000)
Epoch: [59][0/18], lr: 0.00010	Time 7.516 (7.516)	Data 6.156 (6.156)	Loss 2.8557 (2.8557)	Prec@1 15.000 (15.000)	Prec@5 45.000 (45.000)
Test: [0/5]	Time 1.828 (1.828)	Loss 3.0267 (3.0267)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 36.667 Loss 2.91229 
Best Prec@1: 10.000
Epoch: [60][0/18], lr: 0.00010	Time 6.859 (6.859)	Data 5.516 (5.516)	Loss 2.9922 (2.9922)	Prec@1 5.000 (5.000)	Prec@5 30.000 (30.000)
Epoch: [61][0/18], lr: 0.00010	Time 7.609 (7.609)	Data 6.437 (6.437)	Loss 2.9465 (2.9465)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
Epoch: [62][0/18], lr: 0.00010	Time 6.750 (6.750)	Data 5.812 (5.812)	Loss 2.9585 (2.9585)	Prec@1 5.000 (5.000)	Prec@5 20.000 (20.000)
Epoch: [63][0/18], lr: 0.00010	Time 7.609 (7.609)	Data 6.094 (6.094)	Loss 2.8415 (2.8415)	Prec@1 20.000 (20.000)	Prec@5 50.000 (50.000)
Epoch: [64][0/18], lr: 0.00010	Time 7.328 (7.328)	Data 6.312 (6.312)	Loss 2.8604 (2.8604)	Prec@1 0.000 (0.000)	Prec@5 40.000 (40.000)
Test: [0/5]	Time 2.000 (2.000)	Loss 3.0281 (3.0281)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91283 
Best Prec@1: 10.000
Epoch: [65][0/18], lr: 0.00010	Time 7.234 (7.234)	Data 5.672 (5.672)	Loss 2.9692 (2.9692)	Prec@1 5.000 (5.000)	Prec@5 15.000 (15.000)
Epoch: [66][0/18], lr: 0.00010	Time 7.391 (7.391)	Data 5.734 (5.734)	Loss 2.9327 (2.9327)	Prec@1 0.000 (0.000)	Prec@5 40.000 (40.000)
Epoch: [67][0/18], lr: 0.00010	Time 6.656 (6.656)	Data 5.578 (5.578)	Loss 2.8848 (2.8848)	Prec@1 10.000 (10.000)	Prec@5 40.000 (40.000)
Epoch: [68][0/18], lr: 0.00010	Time 7.844 (7.844)	Data 6.734 (6.734)	Loss 2.9446 (2.9446)	Prec@1 5.000 (5.000)	Prec@5 20.000 (20.000)
Epoch: [69][0/18], lr: 0.00010	Time 7.531 (7.531)	Data 6.609 (6.609)	Loss 2.8554 (2.8554)	Prec@1 5.000 (5.000)	Prec@5 45.000 (45.000)
Test: [0/5]	Time 1.797 (1.797)	Loss 3.0269 (3.0269)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91182 
Best Prec@1: 10.000
Epoch: [70][0/18], lr: 0.00010	Time 7.063 (7.063)	Data 5.328 (5.328)	Loss 2.8791 (2.8791)	Prec@1 15.000 (15.000)	Prec@5 35.000 (35.000)
Epoch: [71][0/18], lr: 0.00010	Time 7.297 (7.297)	Data 5.969 (5.969)	Loss 3.0081 (3.0081)	Prec@1 0.000 (0.000)	Prec@5 25.000 (25.000)
Epoch: [72][0/18], lr: 0.00010	Time 7.531 (7.531)	Data 6.219 (6.219)	Loss 2.9587 (2.9587)	Prec@1 5.000 (5.000)	Prec@5 25.000 (25.000)
Epoch: [73][0/18], lr: 0.00010	Time 7.703 (7.703)	Data 6.703 (6.703)	Loss 2.8813 (2.8813)	Prec@1 0.000 (0.000)	Prec@5 45.000 (45.000)
Epoch: [74][0/18], lr: 0.00010	Time 7.281 (7.281)	Data 6.141 (6.141)	Loss 2.9629 (2.9629)	Prec@1 0.000 (0.000)	Prec@5 25.000 (25.000)
Test: [0/5]	Time 1.859 (1.859)	Loss 3.0286 (3.0286)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91152 
Best Prec@1: 10.000
Epoch: [75][0/18], lr: 0.00010	Time 6.656 (6.656)	Data 5.750 (5.750)	Loss 2.9315 (2.9315)	Prec@1 5.000 (5.000)	Prec@5 35.000 (35.000)
Epoch: [76][0/18], lr: 0.00010	Time 7.844 (7.844)	Data 6.844 (6.844)	Loss 2.9296 (2.9296)	Prec@1 0.000 (0.000)	Prec@5 25.000 (25.000)
Epoch: [77][0/18], lr: 0.00010	Time 7.578 (7.578)	Data 6.518 (6.518)	Loss 2.8994 (2.8994)	Prec@1 15.000 (15.000)	Prec@5 35.000 (35.000)
Epoch: [78][0/18], lr: 0.00010	Time 7.062 (7.062)	Data 6.156 (6.156)	Loss 2.9961 (2.9961)	Prec@1 0.000 (0.000)	Prec@5 30.000 (30.000)
Epoch: [79][0/18], lr: 0.00010	Time 7.422 (7.422)	Data 6.500 (6.500)	Loss 2.9575 (2.9575)	Prec@1 5.000 (5.000)	Prec@5 25.000 (25.000)
Test: [0/5]	Time 1.891 (1.891)	Loss 3.0263 (3.0263)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91234 
Best Prec@1: 10.000
Epoch: [80][0/18], lr: 0.00010	Time 8.016 (8.016)	Data 7.062 (7.062)	Loss 2.8881 (2.8881)	Prec@1 5.000 (5.000)	Prec@5 45.000 (45.000)
Epoch: [81][0/18], lr: 0.00010	Time 6.875 (6.875)	Data 5.797 (5.797)	Loss 2.9320 (2.9320)	Prec@1 10.000 (10.000)	Prec@5 40.000 (40.000)
Epoch: [82][0/18], lr: 0.00010	Time 7.359 (7.359)	Data 6.156 (6.156)	Loss 2.9201 (2.9201)	Prec@1 5.000 (5.000)	Prec@5 30.000 (30.000)
Epoch: [83][0/18], lr: 0.00010	Time 7.734 (7.734)	Data 6.719 (6.719)	Loss 2.9671 (2.9671)	Prec@1 10.000 (10.000)	Prec@5 20.000 (20.000)
Epoch: [84][0/18], lr: 0.00010	Time 7.734 (7.734)	Data 5.562 (5.562)	Loss 2.9657 (2.9657)	Prec@1 5.000 (5.000)	Prec@5 30.000 (30.000)
Test: [0/5]	Time 1.781 (1.781)	Loss 3.0275 (3.0275)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91211 
Best Prec@1: 10.000
Epoch: [85][0/18], lr: 0.00010	Time 7.469 (7.469)	Data 6.094 (6.094)	Loss 2.9223 (2.9223)	Prec@1 0.000 (0.000)	Prec@5 35.000 (35.000)
Epoch: [86][0/18], lr: 0.00010	Time 7.578 (7.578)	Data 6.234 (6.234)	Loss 2.9435 (2.9435)	Prec@1 10.000 (10.000)	Prec@5 20.000 (20.000)
Epoch: [87][0/18], lr: 0.00010	Time 7.391 (7.391)	Data 6.469 (6.469)	Loss 2.8647 (2.8647)	Prec@1 15.000 (15.000)	Prec@5 45.000 (45.000)
Epoch: [88][0/18], lr: 0.00010	Time 6.891 (6.891)	Data 5.734 (5.734)	Loss 2.8526 (2.8526)	Prec@1 10.000 (10.000)	Prec@5 45.000 (45.000)
Epoch: [89][0/18], lr: 0.00010	Time 7.250 (7.250)	Data 6.219 (6.219)	Loss 2.9036 (2.9036)	Prec@1 10.000 (10.000)	Prec@5 35.000 (35.000)
Test: [0/5]	Time 1.969 (1.969)	Loss 3.0253 (3.0253)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 36.667 Loss 2.91136 
Best Prec@1: 10.000
Epoch: [90][0/18], lr: 0.00010	Time 8.766 (8.766)	Data 7.437 (7.437)	Loss 2.8305 (2.8305)	Prec@1 20.000 (20.000)	Prec@5 40.000 (40.000)
Epoch: [91][0/18], lr: 0.00010	Time 6.406 (6.406)	Data 5.531 (5.531)	Loss 2.8980 (2.8980)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
Epoch: [92][0/18], lr: 0.00010	Time 6.969 (6.969)	Data 5.922 (5.922)	Loss 2.9261 (2.9261)	Prec@1 5.000 (5.000)	Prec@5 35.000 (35.000)
Epoch: [93][0/18], lr: 0.00010	Time 7.656 (7.656)	Data 5.766 (5.766)	Loss 2.8814 (2.8814)	Prec@1 10.000 (10.000)	Prec@5 35.000 (35.000)
Epoch: [94][0/18], lr: 0.00010	Time 7.141 (7.141)	Data 6.000 (6.000)	Loss 2.9926 (2.9926)	Prec@1 0.000 (0.000)	Prec@5 25.000 (25.000)
Test: [0/5]	Time 1.672 (1.672)	Loss 3.0299 (3.0299)	Prec@1 0.000 (0.000)	Prec@5 10.000 (10.000)
Testing Results: Prec@1 7.778 Prec@5 32.222 Loss 2.91284 
Best Prec@1: 10.000
Epoch: [95][0/18], lr: 0.00010	Time 6.750 (6.750)	Data 5.812 (5.812)	Loss 2.9147 (2.9147)	Prec@1 10.000 (10.000)	Prec@5 30.000 (30.000)
