Epoch: [0][660/1406], lr: 0.00100	Time 0.625 (0.646)	Data 0.000 (0.010)	Loss 1.7824 (1.9439)	Prec@1 20.000 (16.329)	Prec@5 93.333 (82.168)
Epoch: [0][680/1406], lr: 0.00100	Time 0.641 (0.646)	Data 0.000 (0.010)	Loss 1.8656 (1.9429)	Prec@1 6.667 (16.397)	Prec@5 86.667 (82.154)
Epoch: [0][700/1406], lr: 0.00100	Time 0.609 (0.645)	Data 0.000 (0.010)	Loss 2.1550 (1.9409)	Prec@1 20.000 (16.358)	Prec@5 80.000 (82.130)
Epoch: [0][720/1406], lr: 0.00100	Time 0.641 (0.645)	Data 0.000 (0.009)	Loss 2.1585 (1.9396)	Prec@1 20.000 (16.412)	Prec@5 80.000 (82.062)
Epoch: [0][740/1406], lr: 0.00100	Time 0.641 (0.644)	Data 0.000 (0.009)	Loss 1.7950 (1.9385)	Prec@1 0.000 (16.410)	Prec@5 86.667 (82.015)
Epoch: [0][760/1406], lr: 0.00100	Time 0.625 (0.644)	Data 0.000 (0.009)	Loss 2.1522 (1.9378)	Prec@1 26.667 (16.426)	Prec@5 93.333 (81.936)
Epoch: [0][780/1406], lr: 0.00100	Time 0.610 (0.644)	Data 0.000 (0.009)	Loss 1.8699 (1.9379)	Prec@1 6.667 (16.398)	Prec@5 86.667 (81.972)
Epoch: [0][800/1406], lr: 0.00100	Time 0.625 (0.643)	Data 0.000 (0.008)	Loss 1.9206 (1.9366)	Prec@1 0.000 (16.413)	Prec@5 60.000 (81.923)
Epoch: [0][820/1406], lr: 0.00100	Time 0.625 (0.643)	Data 0.000 (0.008)	Loss 1.8370 (1.9354)	Prec@1 6.667 (16.419)	Prec@5 100.000 (81.933)
Epoch: [0][840/1406], lr: 0.00100	Time 0.625 (0.642)	Data 0.000 (0.008)	Loss 1.8614 (1.9344)	Prec@1 6.667 (16.465)	Prec@5 86.667 (81.879)
Epoch: [0][860/1406], lr: 0.00100	Time 0.609 (0.642)	Data 0.000 (0.008)	Loss 1.9342 (1.9337)	Prec@1 6.667 (16.531)	Prec@5 80.000 (81.882)
Epoch: [0][880/1406], lr: 0.00100	Time 0.609 (0.642)	Data 0.000 (0.008)	Loss 1.8809 (1.9328)	Prec@1 13.333 (16.481)	Prec@5 80.000 (81.960)
Epoch: [0][900/1406], lr: 0.00100	Time 0.625 (0.641)	Data 0.000 (0.007)	Loss 1.7845 (1.9345)	Prec@1 13.333 (16.500)	Prec@5 93.333 (81.953)
Epoch: [0][920/1406], lr: 0.00100	Time 0.625 (0.641)	Data 0.000 (0.007)	Loss 1.6957 (1.9345)	Prec@1 40.000 (16.511)	Prec@5 86.667 (81.918)
Epoch: [0][940/1406], lr: 0.00100	Time 0.625 (0.641)	Data 0.000 (0.007)	Loss 1.7377 (1.9331)	Prec@1 33.333 (16.500)	Prec@5 100.000 (81.948)
Epoch: [0][960/1406], lr: 0.00100	Time 0.609 (0.640)	Data 0.000 (0.007)	Loss 1.8931 (1.9329)	Prec@1 6.667 (16.441)	Prec@5 73.333 (81.963)
Epoch: [0][980/1406], lr: 0.00100	Time 0.625 (0.640)	Data 0.000 (0.007)	Loss 1.7943 (1.9318)	Prec@1 13.333 (16.473)	Prec@5 93.333 (81.971)
Epoch: [0][1000/1406], lr: 0.00100	Time 0.625 (0.640)	Data 0.000 (0.007)	Loss 1.8393 (1.9307)	Prec@1 13.333 (16.464)	Prec@5 60.000 (81.965)
Epoch: [0][1020/1406], lr: 0.00100	Time 0.641 (0.640)	Data 0.000 (0.007)	Loss 1.8154 (1.9301)	Prec@1 20.000 (16.526)	Prec@5 86.667 (82.011)
Epoch: [0][1040/1406], lr: 0.00100	Time 0.625 (0.639)	Data 0.000 (0.006)	Loss 2.2020 (1.9295)	Prec@1 13.333 (16.510)	Prec@5 80.000 (82.011)
Epoch: [0][1060/1406], lr: 0.00100	Time 0.625 (0.639)	Data 0.000 (0.006)	Loss 1.9305 (1.9299)	Prec@1 26.667 (16.475)	Prec@5 73.333 (81.986)
Epoch: [0][1080/1406], lr: 0.00100	Time 0.641 (0.639)	Data 0.000 (0.006)	Loss 1.8612 (1.9298)	Prec@1 6.667 (16.442)	Prec@5 86.667 (81.986)
Epoch: [0][1100/1406], lr: 0.00100	Time 0.625 (0.639)	Data 0.000 (0.006)	Loss 1.8212 (1.9302)	Prec@1 13.333 (16.415)	Prec@5 80.000 (82.004)
Epoch: [0][1120/1406], lr: 0.00100	Time 0.641 (0.638)	Data 0.000 (0.006)	Loss 1.7385 (1.9302)	Prec@1 40.000 (16.444)	Prec@5 93.333 (81.963)
Epoch: [0][1140/1406], lr: 0.00100	Time 0.625 (0.639)	Data 0.000 (0.006)	Loss 2.1235 (1.9309)	Prec@1 20.000 (16.488)	Prec@5 86.667 (82.004)
Epoch: [0][1160/1406], lr: 0.00100	Time 0.625 (0.638)	Data 0.000 (0.006)	Loss 2.1837 (1.9310)	Prec@1 13.333 (16.474)	Prec@5 80.000 (81.947)
Epoch: [0][1180/1406], lr: 0.00100	Time 0.625 (0.638)	Data 0.000 (0.006)	Loss 1.8929 (1.9308)	Prec@1 6.667 (16.421)	Prec@5 80.000 (81.919)
Epoch: [0][1200/1406], lr: 0.00100	Time 0.625 (0.638)	Data 0.000 (0.006)	Loss 1.7539 (1.9294)	Prec@1 26.667 (16.420)	Prec@5 93.333 (81.898)
Epoch: [0][1220/1406], lr: 0.00100	Time 0.625 (0.638)	Data 0.000 (0.006)	Loss 1.8349 (1.9304)	Prec@1 20.000 (16.418)	Prec@5 80.000 (81.889)
Epoch: [0][1240/1406], lr: 0.00100	Time 0.609 (0.638)	Data 0.000 (0.005)	Loss 1.8289 (1.9309)	Prec@1 6.667 (16.385)	Prec@5 80.000 (81.912)
Epoch: [0][1260/1406], lr: 0.00100	Time 0.625 (0.637)	Data 0.000 (0.005)	Loss 2.1465 (1.9308)	Prec@1 13.333 (16.410)	Prec@5 86.667 (81.909)
Epoch: [0][1280/1406], lr: 0.00100	Time 0.625 (0.637)	Data 0.000 (0.005)	Loss 1.8634 (1.9306)	Prec@1 0.000 (16.393)	Prec@5 73.333 (81.894)
Epoch: [0][1300/1406], lr: 0.00100	Time 0.625 (0.637)	Data 0.000 (0.005)	Loss 1.9180 (1.9302)	Prec@1 6.667 (16.408)	Prec@5 73.333 (81.875)
Epoch: [0][1320/1406], lr: 0.00100	Time 0.625 (0.637)	Data 0.000 (0.005)	Loss 1.8235 (1.9296)	Prec@1 20.000 (16.402)	Prec@5 80.000 (81.898)
Epoch: [0][1340/1406], lr: 0.00100	Time 0.656 (0.637)	Data 0.000 (0.005)	Loss 2.2131 (1.9294)	Prec@1 13.333 (16.381)	Prec@5 66.667 (81.879)
Epoch: [0][1360/1406], lr: 0.00100	Time 0.641 (0.637)	Data 0.000 (0.005)	Loss 1.8083 (1.9294)	Prec@1 13.333 (16.390)	Prec@5 66.667 (81.866)
Epoch: [0][1380/1406], lr: 0.00100	Time 0.625 (0.637)	Data 0.000 (0.005)	Loss 1.8086 (1.9299)	Prec@1 20.000 (16.399)	Prec@5 73.333 (81.863)
Epoch: [0][1400/1406], lr: 0.00100	Time 0.609 (0.636)	Data 0.000 (0.005)	Loss 1.8594 (1.9297)	Prec@1 6.667 (16.441)	Prec@5 80.000 (81.889)
Epoch: [1][0/1406], lr: 0.00100	Time 7.484 (7.484)	Data 6.672 (6.672)	Loss 2.1058 (2.1058)	Prec@1 13.333 (13.333)	Prec@5 80.000 (80.000)
Epoch: [1][20/1406], lr: 0.00100	Time 0.609 (0.956)	Data 0.000 (0.318)	Loss 1.8695 (1.8583)	Prec@1 20.000 (19.048)	Prec@5 66.667 (83.175)
Epoch: [1][40/1406], lr: 0.00100	Time 0.641 (0.795)	Data 0.000 (0.163)	Loss 1.9288 (1.8909)	Prec@1 6.667 (16.911)	Prec@5 66.667 (82.764)
Epoch: [1][60/1406], lr: 0.00100	Time 0.625 (0.739)	Data 0.000 (0.109)	Loss 2.2651 (1.9039)	Prec@1 6.667 (16.612)	Prec@5 73.333 (84.044)
Epoch: [1][80/1406], lr: 0.00100	Time 0.625 (0.710)	Data 0.000 (0.082)	Loss 1.8478 (1.9283)	Prec@1 13.333 (16.708)	Prec@5 86.667 (83.374)
Epoch: [1][100/1406], lr: 0.00100	Time 0.609 (0.693)	Data 0.000 (0.066)	Loss 1.9793 (1.9335)	Prec@1 0.000 (16.634)	Prec@5 73.333 (83.498)
Epoch: [1][120/1406], lr: 0.00100	Time 0.609 (0.681)	Data 0.000 (0.055)	Loss 1.8351 (1.9278)	Prec@1 26.667 (16.639)	Prec@5 80.000 (83.361)
Epoch: [1][140/1406], lr: 0.00100	Time 0.625 (0.673)	Data 0.000 (0.047)	Loss 1.7680 (1.9251)	Prec@1 20.000 (17.021)	Prec@5 93.333 (83.546)
Epoch: [1][160/1406], lr: 0.00100	Time 0.641 (0.667)	Data 0.000 (0.042)	Loss 1.7640 (1.9214)	Prec@1 26.667 (17.143)	Prec@5 80.000 (83.602)
Epoch: [1][180/1406], lr: 0.00100	Time 0.672 (0.663)	Data 0.000 (0.037)	Loss 1.8020 (1.9232)	Prec@1 20.000 (17.238)	Prec@5 86.667 (83.757)
Epoch: [1][200/1406], lr: 0.00100	Time 0.672 (0.659)	Data 0.000 (0.033)	Loss 1.7660 (1.9275)	Prec@1 20.000 (16.982)	Prec@5 93.333 (83.449)
Epoch: [1][220/1406], lr: 0.00100	Time 0.609 (0.656)	Data 0.000 (0.030)	Loss 1.8187 (1.9273)	Prec@1 20.000 (16.953)	Prec@5 86.667 (83.228)
Epoch: [1][240/1406], lr: 0.00100	Time 0.625 (0.654)	Data 0.000 (0.028)	Loss 1.7741 (1.9291)	Prec@1 46.667 (16.736)	Prec@5 100.000 (83.126)
Epoch: [1][260/1406], lr: 0.00100	Time 0.641 (0.651)	Data 0.000 (0.026)	Loss 2.0961 (1.9267)	Prec@1 26.667 (16.807)	Prec@5 80.000 (83.142)
Epoch: [1][280/1406], lr: 0.00100	Time 0.625 (0.649)	Data 0.000 (0.024)	Loss 1.7942 (1.9265)	Prec@1 20.000 (16.821)	Prec@5 80.000 (82.989)
Epoch: [1][300/1406], lr: 0.00100	Time 0.609 (0.647)	Data 0.000 (0.022)	Loss 1.7810 (1.9332)	Prec@1 20.000 (16.700)	Prec@5 100.000 (82.636)
Epoch: [1][320/1406], lr: 0.00100	Time 0.625 (0.646)	Data 0.000 (0.021)	Loss 1.8775 (1.9334)	Prec@1 6.667 (16.636)	Prec@5 80.000 (82.409)
Epoch: [1][340/1406], lr: 0.00100	Time 0.610 (0.644)	Data 0.000 (0.020)	Loss 1.9265 (1.9321)	Prec@1 26.667 (16.540)	Prec@5 73.333 (82.502)
Epoch: [1][360/1406], lr: 0.00100	Time 0.609 (0.643)	Data 0.000 (0.019)	Loss 1.8275 (1.9318)	Prec@1 20.000 (16.510)	Prec@5 73.333 (82.179)
Epoch: [1][380/1406], lr: 0.00100	Time 0.609 (0.642)	Data 0.000 (0.018)	Loss 1.7970 (1.9303)	Prec@1 33.333 (16.745)	Prec@5 80.000 (82.170)
Epoch: [1][400/1406], lr: 0.00100	Time 0.609 (0.641)	Data 0.000 (0.017)	Loss 1.8244 (1.9278)	Prec@1 13.333 (16.642)	Prec@5 93.333 (82.311)
Epoch: [1][420/1406], lr: 0.00100	Time 0.609 (0.640)	Data 0.000 (0.016)	Loss 1.8763 (1.9274)	Prec@1 0.000 (16.785)	Prec@5 73.333 (82.391)
Epoch: [1][440/1406], lr: 0.00100	Time 0.609 (0.640)	Data 0.000 (0.015)	Loss 2.1338 (1.9252)	Prec@1 26.667 (16.614)	Prec@5 73.333 (82.449)
Epoch: [1][460/1406], lr: 0.00100	Time 0.641 (0.639)	Data 0.000 (0.015)	Loss 1.8824 (1.9256)	Prec@1 20.000 (16.775)	Prec@5 100.000 (82.401)
Epoch: [1][480/1406], lr: 0.00100	Time 0.609 (0.638)	Data 0.000 (0.014)	Loss 1.7990 (1.9256)	Prec@1 20.000 (16.798)	Prec@5 100.000 (82.467)
Epoch: [1][500/1406], lr: 0.00100	Time 0.609 (0.638)	Data 0.000 (0.014)	Loss 1.7678 (1.9266)	Prec@1 26.667 (16.727)	Prec@5 86.667 (82.329)
Epoch: [1][520/1406], lr: 0.00100	Time 0.609 (0.638)	Data 0.000 (0.013)	Loss 1.8386 (1.9268)	Prec@1 13.333 (16.750)	Prec@5 93.333 (82.201)
Epoch: [1][540/1406], lr: 0.00100	Time 0.609 (0.637)	Data 0.000 (0.013)	Loss 1.8312 (1.9259)	Prec@1 20.000 (16.858)	Prec@5 73.333 (82.070)
Epoch: [1][560/1406], lr: 0.00100	Time 0.625 (0.637)	Data 0.000 (0.012)	Loss 2.5013 (1.9259)	Prec@1 13.333 (16.946)	Prec@5 73.333 (82.020)
Epoch: [1][580/1406], lr: 0.00100	Time 0.641 (0.636)	Data 0.000 (0.012)	Loss 1.8395 (1.9248)	Prec@1 26.667 (16.994)	Prec@5 80.000 (81.985)
Epoch: [1][600/1406], lr: 0.00100	Time 0.625 (0.636)	Data 0.000 (0.011)	Loss 2.1764 (1.9235)	Prec@1 20.000 (16.894)	Prec@5 80.000 (82.063)
Epoch: [1][620/1406], lr: 0.00100	Time 0.609 (0.635)	Data 0.000 (0.011)	Loss 1.8255 (1.9252)	Prec@1 13.333 (16.865)	Prec@5 86.667 (82.061)
Epoch: [1][640/1406], lr: 0.00100	Time 0.625 (0.635)	Data 0.000 (0.011)	Loss 1.7864 (1.9236)	Prec@1 33.333 (16.849)	Prec@5 93.333 (82.038)
Epoch: [1][660/1406], lr: 0.00100	Time 0.625 (0.635)	Data 0.000 (0.010)	Loss 2.4651 (1.9238)	Prec@1 20.000 (16.823)	Prec@5 73.333 (82.027)
Epoch: [1][680/1406], lr: 0.00100	Time 0.609 (0.634)	Data 0.000 (0.010)	Loss 1.7902 (1.9229)	Prec@1 20.000 (16.818)	Prec@5 80.000 (82.056)
Epoch: [1][700/1406], lr: 0.00100	Time 0.641 (0.634)	Data 0.000 (0.010)	Loss 1.7541 (1.9230)	Prec@1 20.000 (16.690)	Prec@5 93.333 (82.045)
Epoch: [1][720/1406], lr: 0.00100	Time 0.641 (0.633)	Data 0.000 (0.009)	Loss 1.8873 (1.9230)	Prec@1 6.667 (16.662)	Prec@5 80.000 (82.136)
Epoch: [1][740/1406], lr: 0.00100	Time 0.641 (0.633)	Data 0.000 (0.009)	Loss 1.9049 (1.9228)	Prec@1 6.667 (16.617)	Prec@5 80.000 (82.087)
Epoch: [1][760/1406], lr: 0.00100	Time 0.625 (0.633)	Data 0.000 (0.009)	Loss 1.8259 (1.9241)	Prec@1 13.333 (16.636)	Prec@5 93.333 (82.129)
Epoch: [1][780/1406], lr: 0.00100	Time 0.625 (0.633)	Data 0.000 (0.009)	Loss 1.8696 (1.9252)	Prec@1 13.333 (16.637)	Prec@5 73.333 (82.143)
